number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
0,35.81171266644866,2026-05-02 05:21:13.127188,2026-05-02 05:24:48.054910,0 days 00:03:34.927722,64,64,0.3890941216472339,0.1541409423610122,0.34682826619179435,0.002436802318895122,3,12,32,96.0,96.0,COMPLETE
1,33.186908593458725,2026-05-02 05:24:48.063534,2026-05-02 05:26:18.228217,0 days 00:01:30.164683,64,80,0.13994322955579364,0.31003534731984345,,0.0010477162331957897,2,6,64,128.0,,COMPLETE
2,33.52328289924584,2026-05-02 05:26:18.230258,2026-05-02 05:32:44.928827,0 days 00:06:26.698569,32,32,0.4162489932039425,0.39983179007872827,0.3369967140694887,0.0020990980351558177,3,12,96,96.0,160.0,COMPLETE
3,33.24970839169656,2026-05-02 05:32:44.929822,2026-05-02 05:33:46.911516,0 days 00:01:01.981694,64,16,0.2012791759056699,,,0.0013618778531120468,1,6,128,,,COMPLETE
4,38.79968637359209,2026-05-02 05:33:46.912522,2026-05-02 05:36:06.068538,0 days 00:02:19.156016,64,64,0.27993000319946726,,,0.008138784382360159,1,12,192,,,COMPLETE
5,51.52597226208633,2026-05-02 05:36:06.069538,2026-05-02 05:39:20.179282,0 days 00:03:14.109744,16,32,0.495768894979559,0.3018503260004309,,0.021641441284000747,2,6,64,224.0,,COMPLETE
6,31.62695606177237,2026-05-02 05:39:20.180354,2026-05-02 05:41:27.777047,0 days 00:02:07.596693,64,80,0.31146552691439716,,,0.0014279271563852555,1,6,256,,,COMPLETE
7,34.33865513698022,2026-05-02 05:41:27.777047,2026-05-02 05:42:41.724890,0 days 00:01:13.947843,64,80,0.18414931187792574,0.3305929846026397,0.34970663585686024,0.0026729599386606686,3,1,224,160.0,96.0,COMPLETE
8,31.984162713236703,2026-05-02 05:42:41.725901,2026-05-02 05:46:52.656517,0 days 00:04:10.930616,64,48,0.32902495115268937,0.1606701017180972,,0.0013550636995855604,2,12,128,32.0,,COMPLETE
9,35.42754615880665,2026-05-02 05:46:52.658504,2026-05-02 05:50:43.766268,0 days 00:03:51.107764,64,32,0.14713942016426673,0.40277902882305916,,0.0032784372082948553,2,12,160,128.0,,COMPLETE
10,37.49016105943717,2026-05-02 05:50:43.767262,2026-05-02 06:00:39.563411,0 days 00:09:55.796149,32,128,0.2569955153468264,,,0.007054811177917598,1,24,256,,,COMPLETE
11,31.7686273115224,2026-05-02 06:00:39.563411,2026-05-02 06:10:07.350577,0 days 00:09:27.787166,16,112,0.3560683722516056,,,0.0010044960301442828,1,48,160,,,COMPLETE
12,33.09499615393233,2026-05-02 06:10:07.350870,2026-05-02 06:22:22.496238,0 days 00:12:15.145368,16,112,0.3532133268551113,,,0.0010782295305697576,1,48,256,,,COMPLETE
13,34.68528122287444,2026-05-02 06:22:22.496238,2026-05-02 06:51:39.122125,0 days 00:29:16.625887,16,96,0.4556146110354186,,,0.0044761495574647935,1,168,192,,,COMPLETE
14,34.89293860204235,2026-05-02 06:51:39.122125,2026-05-02 07:02:42.932723,0 days 00:11:03.810598,16,112,0.2679958069343862,,,0.013782564248724885,1,48,192,,,COMPLETE
15,33.06465267359435,2026-05-02 07:02:42.932723,2026-05-02 07:14:26.973599,0 days 00:11:44.040876,16,96,0.3471597690159958,,,0.0018043909865747636,1,48,224,,,COMPLETE
16,32.34270223272294,2026-05-02 07:14:26.974599,2026-05-02 08:23:22.254985,0 days 01:08:55.280386,32,128,0.2259879239234467,0.4866205867696616,,0.003912586174930358,2,168,160,256.0,,COMPLETE
17,34.26838628128521,2026-05-02 08:23:22.270652,2026-05-02 08:24:23.075568,0 days 00:01:00.804916,16,96,0.31339276253367077,,,0.0016828698525896326,1,1,224,,,COMPLETE
18,35.76188589183166,2026-05-02 08:24:23.075568,2026-05-02 08:28:39.839110,0 days 00:04:16.763542,16,112,0.4099280917929019,0.21040422665507652,,0.011588762626591443,2,24,96,32.0,,COMPLETE
19,32.75388911785257,2026-05-02 08:28:39.839110,2026-05-02 08:56:55.381060,0 days 00:28:15.541950,32,80,0.387307579930388,,,0.001070684149348046,1,48,256,,,COMPLETE
20,31.73358966786865,2026-05-02 08:56:55.381194,2026-05-02 09:00:32.384565,0 days 00:03:37.003371,64,96,0.31155453187667614,0.10093511347912415,,0.00536261171790679,2,6,160,192.0,,COMPLETE
21,31.908513732706886,2026-05-02 09:00:32.391384,2026-05-02 09:04:26.043728,0 days 00:03:53.652344,64,96,0.2978768292931124,0.10694885650938868,,0.005827643189274226,2,6,160,192.0,,COMPLETE
22,32.81069712930316,2026-05-02 09:04:26.043728,2026-05-02 09:06:03.976333,0 days 00:01:37.932605,64,112,0.3618483783124963,,,0.003038134223982952,1,6,128,,,COMPLETE
23,60.66680524099003,2026-05-02 09:06:03.977450,2026-05-02 09:09:35.787545,0 days 00:03:31.810095,64,64,0.31179363817623224,0.2306654823323011,,0.029292243477388433,2,6,192,256.0,,COMPLETE
24,32.93422151328819,2026-05-02 09:09:35.787545,2026-05-02 09:14:21.158386,0 days 00:04:45.370841,64,128,0.2447786808080084,0.23367374370317973,0.146567502255568,0.0015040277477600123,3,6,96,192.0,256.0,COMPLETE
25,35.257619449496055,2026-05-02 09:14:21.159231,2026-05-02 09:26:55.072204,0 days 00:12:33.912973,16,80,0.45235042280103516,,,0.011145439605186241,1,48,160,,,COMPLETE
26,32.19523598732413,2026-05-02 09:26:55.072204,2026-05-02 09:29:55.905379,0 days 00:03:00.833175,64,96,0.10208964913613788,0.11050149677775636,,0.00225944981784558,2,6,224,192.0,,COMPLETE
