hour,best_window,best_mae,3,6,12,24
0,24,21.752107186569447,22.594981001886364,22.091738146458127,22.544378881894783,21.752107186569447
1,6,29.245815672904673,32.99579999073758,29.245815672904673,31.76980783088824,29.81433050429145
2,12,31.99782717755661,36.15198043260027,35.49946846558607,31.99782717755661,35.51470758245318
3,12,36.8829214822197,40.88542077468608,39.939369171125634,36.8829214822197,36.89830554376957
4,12,38.05802134162752,41.116538666749996,38.72312718171444,38.05802134162752,39.15932941095959
5,24,38.25593326031671,42.749965982674034,40.910166367740324,38.698727689853115,38.25593326031671
6,12,37.82153507501233,45.82500365475253,43.39663617886827,37.82153507501233,38.91129739131524
7,12,39.58869840133207,43.81092535697959,41.589095519020624,39.58869840133207,42.05109902386911
8,12,39.918647459386364,43.47038185966393,42.24405345105366,39.918647459386364,40.152482393221796
9,24,38.0604154018245,42.285027869572815,40.081626762224325,45.10722872228746,38.0604154018245
10,24,40.41552034398148,46.46728087004686,44.82960467819445,42.60722709548717,40.41552034398148
11,6,40.791805945527145,46.369500567962504,40.791805945527145,45.52837096983039,41.87062701409491
12,12,42.92735961612479,50.356444102084595,45.16932876217739,42.92735961612479,43.860680864755885
13,12,42.87872887050968,45.80762038602273,47.26177445394507,42.87872887050968,44.38961084864393
14,24,41.811958632015354,46.169575511676136,44.77094596666898,42.994536754055765,41.811958632015354
15,24,41.7733891638872,47.35456412195307,45.973706501652146,43.85813314256755,41.7733891638872
16,24,42.467904171389414,49.3154276799452,45.661609710805344,46.192505188300714,42.467904171389414
17,24,42.77313770025442,43.26027132425884,47.10901257702167,46.49873657521296,42.77313770025442
18,12,42.173428495544826,45.53583799587121,44.92088170181713,42.173428495544826,47.30700114700674
19,12,42.96699045521086,44.144631643526935,46.21190978906587,42.96699045521086,44.336572664363636
20,12,41.26372498825462,44.978682850786555,43.643162332043346,41.26372498825462,43.551661358458844
21,24,42.31313250119066,45.96101090754419,45.46320377495581,42.710009850606056,42.31313250119066
22,3,43.2487178432298,43.2487178432298,46.86728427325926,43.634170393284094,44.17728769421717
23,12,43.721354579570075,45.86087099844886,48.21641830769823,43.721354579570075,47.121625049263784
AVG,24,40.364171535504745,43.196519266402525,42.108822737147,40.51429462652574,40.364171535504745
